,area,rent amount (R$)
1888,80,1200
1889,300,11500
1890,72,1300
1891,70,1659
1892,395,15000
1893,540,15000
1894,318,10160
1895,42,900
1896,52,1400
1897,167,10850
1898,50,1209
1899,65,1000
1900,140,3600
1901,92,1600
1902,150,3300
1903,60,1300
1904,308,13500
1905,159,3230
1906,240,7500
1907,65,1690
1908,200,5000
1909,130,3610
1910,21,1200
1911,68,1600
1912,40,900
1913,310,3100
1914,103,1060
1915,650,15000
1916,30,500
1917,155,5000
1918,107,2600
1919,340,12000
1920,70,1200
1921,58,950
1922,70,3300
1923,240,4300
1924,130,2800
1925,310,10000
1926,60,1300
1927,319,10050
1928,81,1150
1929,306,8000
1930,113,3000
1931,280,6000
1932,270,13000
1933,78,2000
1934,60,1500
1935,30,750
1936,58,800
1937,65,1800
1938,58,1740
1939,22,2100
1940,32,3200
1941,176,5200
1942,350,7500
1943,260,4400
1944,100,2300
1945,65,3500
1946,600,15000
1947,300,5000
1948,430,8500
1949,260,8000
1950,211,8400
1951,103,1800
1952,62,1556
1953,80,3499
1954,60,1180
1955,27,3500
1956,486,4861
1957,40,1680
1958,60,2800
1959,64,2200
1960,660,10000
1961,62,2400
1962,50,946
1963,380,8000
1964,134,2500
1965,74,3600
1966,68,2500
1967,33,1600
1968,60,1100
1969,50,3700
1970,57,1630
1971,39,995
1972,45,760
1973,221,4500
1974,140,1799
1975,650,9000
1976,210,15000
1977,100,2600
1978,220,9000
1979,42,1150
1980,98,3000
1981,150,5200
1982,170,3500
1983,60,1610
1984,120,3450
1985,142,3550
1986,90,2500
1987,140,6000
1988,26,1200
1989,20,790
1990,24,550
1991,140,2900
1992,134,3000
1993,400,2000
1994,18,650
1995,62,2800
1996,192,6500
1997,80,1790
1998,38,2900
1999,112,1400
2000,15,1100
2001,29,1043
2002,55,1050
2003,88,2500
2004,100,1600
2005,92,1800
2006,154,4250
2007,240,12000
2008,28,1340
2009,50,1250
2010,180,8000
2011,35,850
2012,64,3500
2013,60,1310
2014,239,5950
2015,130,2300
2016,85,918
2017,75,2000
2018,90,1800
2019,100,1500
2020,70,1450
2021,86,1258
2022,29,1500
2023,82,1700
2024,55,1625
2025,47,2200
2026,33,4000
2027,50,1800
2028,159,1900
2029,62,1100
2030,80,1569
2031,170,5000
2032,68,1800
2033,300,5080
2034,50,1460
2035,80,2000
2036,40,820
2037,270,6500
2038,75,1100
2039,60,2800
2040,300,7500
2041,73,1200
2042,85,1000
2043,100,2400
2044,49,680
2045,35,1800
2046,240,14850
2047,45,900
2048,55,2800
2049,305,11000
2050,622,10000
2051,55,1200
2052,42,2300
2053,132,1500
2054,53,850
2055,998,15000
2056,22,2410
2057,35,850
2058,189,8000
2059,375,9000
2060,65,1400
2061,462,8000
2062,150,2285
2063,350,4300
2064,260,7500
2065,61,1100
2066,175,2890
2067,70,1800
2068,60,1500
2069,296,5200
2070,96,2900
2071,150,7377
2072,375,6400
2073,70,1500
2074,127,4930
2075,67,2800
2076,50,3300
2077,56,1500
2078,55,2100
2079,34,900
2080,68,930
2081,80,1777
2082,120,1800
2083,50,1600
2084,78,1200
2085,90,3800
2086,320,8000
2087,560,2633
2088,25,1850
2089,37,650
2090,95,3600
2091,130,1650
2092,270,3910
2093,40,650
2094,65,1450
2095,45,1015
2096,20,2060
2097,720,6500
2098,80,2500
2099,90,1000
2100,60,1062
2101,45,3400
2102,100,3100
2103,553,10870
2104,250,3900
2105,92,3700
2106,98,15000
2107,114,1400
2108,27,1900
2109,225,3500
2110,30,1700
2111,135,4000
2112,150,4000
2113,190,5580
2114,47,2200
2115,120,1150
2116,90,2066
2117,350,7500
2118,160,4300
2119,150,2500
2120,35,2000
2121,25,550
2122,240,13000
2123,150,4400
2124,20,700
2125,85,1341
2126,50,1900
2127,197,6000
2128,70,2800
2129,220,3500
2130,270,4800
2131,100,2499
2132,195,8000
2133,160,4200
2134,470,7200
2135,60,1200
2136,300,12900
2137,330,8950
2138,109,4300
2139,240,12000
2140,150,2300
2141,200,4500
2142,140,2300
2143,106,10600
2144,92,2100
2145,35,2200
2146,70,2900
2147,74,6600
2148,69,1900
2149,50,830
2150,450,4760
2151,68,1000
2152,71,3000
2153,69,1370
2154,32,1500
2155,57,1800
2156,28,2200
2157,39,2000
2158,140,1700
2159,160,4500
2160,235,5150
2161,171,2200
2162,139,6000
2163,160,2300
2164,60,800
2165,134,2125
2166,70,1300
2167,57,1530
2168,240,5500
2169,50,800
2170,120,3550
2171,200,1200
2172,572,7800
2173,145,4000
2174,70,1200
2175,85,8000
2176,140,3000
2177,260,12500
2178,211,3390
2179,58,650
2180,110,4500
2181,72,1500
2182,700,45000
2183,68,6000
2184,100,2700
2185,240,6500
2186,104,3500
2187,70,1600
2188,67,2600
2189,160,3780
2190,64,1400
2191,140,8000
2192,38,750
2193,34,2700
2194,54,2001
2195,54,7200
2196,200,3500
2197,107,2600
2198,70,1550
2199,20,1800
2200,86,2340
2201,30,1480
2202,108,2000
2203,250,2700
2204,80,2200
2205,73,1100
2206,45,1205
2207,45,1650
2208,255,2500
2209,217,6000
2210,70,1870
2211,25,885
2212,110,3250
2213,80,10000
2214,260,9000
2215,50,2700
2216,60,815
2217,400,6500
2218,113,3000
2219,400,8000
2220,64,2250
2221,82,3100
2222,65,2000
2223,128,4900
2224,38,950
2225,175,2000
2226,107,4500
2227,257,3800
2228,35,3250
2229,463,12000
2230,40,920
2231,297,1870
2232,137,5500
2233,35,1200
2234,128,3500
2235,59,1250
2236,400,11480
2237,100,4500
2238,50,2200
2239,80,1900
2240,68,1650
2241,32,2000
2242,161,4500
2243,85,1700
2244,100,2500
2245,136,5000
2246,362,7000
2247,276,6500
2248,22,1322
2249,60,980
2250,500,9250
2251,65,980
2252,56,2600
2253,35,2840
2254,98,2550
2255,45,950
2256,48,800
2257,48,1500
2258,114,7010
2259,197,4250
2260,200,2500
2261,110,2500
2262,300,6000
2263,120,1900
2264,40,1084
2265,92,3950
2266,140,5500
2267,244,7000
2268,59,1000
2269,35,791
2270,120,2000
2271,248,9100
2272,63,1690
2273,45,1800
2274,129,2376
2275,300,4675
2276,29,2200
2277,100,1300
2278,153,5500
2279,87,1200
2280,75,7000
2281,300,12750
2282,48,700
2283,56,2000
2284,71,977
2285,84,6000
2286,208,3490
2287,100,6000
2288,84,2200
2289,145,4800
2290,300,15000
2291,65,6000
2292,27,836
2293,102,1350
2294,60,2848
2295,60,1286
2296,50,1620
2297,97,2300
2298,52,5000
2299,373,12750
2300,157,6608
2301,68,1100
2302,172,8800
2303,64,3500
2304,41,1700
2305,106,2850
2306,150,3300
2307,135,3500
2308,350,9600
2309,360,1500
2310,700,15000
2311,100,8900
2312,50,1200
2313,55,1300
2314,215,6000
2315,287,15000
2316,58,1500
2317,90,1600
2318,200,3315
2319,65,2200
2320,820,10000
2321,102,2000
2322,108,4500
2323,86,3100
2324,210,4200
2325,140,4200
2326,220,4500
2327,66,1100
2328,389,8500
2329,80,1700
2330,78,2200
2331,178,6000
2332,47,1140
2333,160,2150
2334,25,700
2335,80,1700
2336,144,5000
2337,400,7900
2338,100,14500
2339,48,1150
2340,64,1530
2341,50,700
2342,50,5156
2343,60,1465
2344,180,4800
2345,339,3880
2346,54,2350
2347,420,12000
2348,350,8000
2349,72,3060
2350,50,800
2351,450,11000
2352,60,2900
2353,160,7500
2354,450,13500
2355,265,3490
2356,103,3400
2357,60,1650
2358,136,7900
2359,45,750
2360,206,12500
2361,229,5500
2362,70,1000
2363,130,4500
2364,87,1100
2365,200,6000
2366,50,1320
2367,120,3000
2368,40,1300
2369,54,1800
2370,48,1350
2371,149,6000
2372,45,1500
2373,76,2650
2374,60,1850
2375,118,9000
2376,200,13000
2377,200,5000
2378,138,10000
2379,53,1200
2380,61,3800
2381,135,2800
2382,50,750
2383,34,1300
2384,218,4000
2385,400,10000
2386,25,550
2387,360,3500
2388,72,2630
2389,45,1600
2390,340,4600
2391,130,3100
2392,72,3000
2393,50,900
2394,100,4999
2395,270,13000
2396,60,1325
2397,46335,8500
2398,700,10000
2399,550,8800
2400,21,980
2401,55,3800
2402,40,4200
2403,50,1500
2404,52,3950
2405,46,1434
2406,20,1100
2407,50,1050
2408,49,2400
2409,440,10500
2410,59,900
2411,150,2300
2412,100,2020
2413,72,2100
2414,500,9000
2415,264,6000
2416,76,5500
2417,16,870
2418,198,3250
2419,190,4000
2420,210,11500
2421,233,2700
2422,180,11000
2423,1020,6520
2424,320,7200
2425,116,3800
2426,128,8500
2427,42,1020
2428,70,3800
2429,320,15000
2430,77,1200
2431,208,15000
2432,115,2400
2433,60,1300
2434,50,1045
2435,108,4500
2436,64,6950
2437,178,3500
2438,53,1480
2439,118,1560
2440,65,1250
2441,180,7000
2442,348,4850
2443,150,4500
2444,45,650
2445,37,3300
2446,540,5220
2447,521,10000
2448,147,4800
2449,130,2610
2450,190,3700
2451,28,730
2452,160,5850
2453,310,5200
2454,530,13000
2455,59,1200
2456,800,14200
2457,77,2050
2458,160,4300
2459,47,1800
2460,52,1000
2461,60,4000
2462,120,3000
2463,55,850
2464,110,3200
2465,145,2950
2466,88,2300
2467,49,2000
2468,26,3500
2469,36,1600
2470,150,2100
2471,77,5700
2472,60,1610
2473,58,1190
2474,145,4500
2475,408,15000
2476,50,800
2477,85,3300
2478,210,4200
2479,100,1646
2480,68,1900
2481,42,2000
2482,87,1300
2483,40,950
2484,50,1850
2485,85,2520
2486,55,1910
2487,127,5500
2488,172,5800
2489,75,1200
2490,50,3000
2491,120,4200
2492,95,3490
2493,300,5200
2494,44,1600
2495,563,15000
2496,65,1700
2497,170,2940
2498,22,1500
2499,410,4900
2500,60,1400
2501,47,2700
2502,72,1500
2503,157,9000
2504,280,7000
2505,68,1050
2506,56,560
2507,140,8900
2508,50,830
2509,40,1200
2510,260,12000
2511,700,14000
2512,130,1900
2513,215,4000
2514,300,4500
2515,250,12000
2516,80,5435
2517,54,1200
2518,57,650
2519,130,4500
2520,48,6800
2521,318,19000
2522,77,7740
2523,42,2650
2524,74,1600
2525,452,9980
2526,41,2400
2527,90,1917
2528,145,8000
2529,70,2035
2530,180,3300
2531,68,1300
2532,300,10000
2533,270,6500
2534,63,650
2535,140,5000
2536,220,8000
2537,90,2500
2538,62,3200
2539,55,770
2540,170,4000
2541,75,1100
2542,150,2490
2543,270,7000
2544,55,1500
2545,38,1050
2546,87,1970
2547,26,750
2548,384,5000
2549,62,1050
2550,70,1750
2551,48,1288
2552,396,10000
2553,480,7000
2554,230,6300
2555,60,2210
2556,80,1900
2557,150,7500
2558,85,1100
2559,25,2200
2560,105,2125
2561,144,4800
2562,80,2600
2563,100,1530
2564,649,15000
2565,55,850
2566,68,1800
2567,265,8500
2568,96,4387
2569,241,5200
2570,65,900
2571,71,1130
2572,90,1550
2573,90,2100
2574,42,1020
2575,109,1400
2576,260,15000
2577,154,2000
2578,55,1020
2579,49,2400
2580,56,8000
2581,67,1230
2582,160,3175
2583,118,1800
2584,47,1480
2585,132,2980
2586,47,755
2587,60,1700
2588,250,7880
2589,400,8500
2590,28,2200
2591,300,14000
2592,78,5900
2593,56,1800
2594,110,3360
2595,65,1800
2596,59,1018
2597,20,1800
2598,65,1800
2599,235,14900
2600,137,14000
2601,28,1100
2602,50,1500
2603,120,3500
2604,80,1576
2605,82,2700
2606,160,4700
2607,51,2350
2608,56,1400
2609,170,4000
2610,300,3800
2611,60,3400
2612,50,990
2613,250,9000
2614,80,935
2615,20,1800
2616,110,3800
2617,430,6000
2618,144,4500
2619,80,24000
2620,30,580
2621,163,8000
2622,80,2600
2623,300,15000
2624,544,3200
2625,95,1800
2626,65,1030
2627,305,14000
2628,103,1200
2629,135,2300
2630,200,7000
2631,47,1000
2632,35,700
2633,44,1000
2634,82,3400
2635,50,900
2636,360,3300
2637,95,2500
2638,83,3200
2639,60,2100
2640,122,5800
2641,150,7925
2642,450,3460
2643,58,1000
2644,380,4600
2645,430,8000
2646,280,5280
2647,580,15000
2648,98,1100
2649,40,1080
2650,50,2300
2651,40,4065
2652,75,4500
2653,72,3500
2654,429,12750
2655,380,8000
2656,72,900
2657,114,2600
2658,100,3880
2659,120,4000
2660,100,5500
2661,170,6500
2662,62,12000
2663,62,2500
2664,94,4400
2665,144,8200
2666,68,1200
2667,42,2200
2668,84,1460
2669,165,10000
2670,50,1072
2671,65,1750
2672,52,2300
2673,136,3400
2674,75,1100
2675,212,7000
2676,70,1400
2677,57,2300
2678,128,3900
2679,62,2350
2680,140,3800
2681,55,1399
2682,130,5500
2683,82,2600
2684,100,1200
2685,122,3950
2686,87,1300
2687,70,780
2688,123,3700
2689,91,3390
2690,50,1100
2691,189,5780
2692,45,850
2693,35,1950
2694,350,7200
2695,73,1460
2696,35,2100
2697,685,13000
2698,140,3999
2699,78,2800
2700,200,5600
2701,102,3000
2702,48,1000
2703,84,2175
2704,80,1300
2705,391,10000
2706,227,15000
2707,180,6500
2708,178,3900
2709,105,8700
2710,26,4300
2711,200,4500
2712,78,1300
2713,309,12000
2714,66,1500
2715,20,1650
2716,35,750
2717,130,6000
2718,120,1210
2719,75,2200
2720,120,7300
2721,65,1530
2722,20,1800
2723,62,1400
2724,129,3000
2725,70,3000
2726,38,1700
2727,120,5000
2728,180,3150
2729,82,8000
2730,58,1400
2731,52,2400
2732,67,1300
2733,100,2900
2734,570,10870
2735,54,2200
2736,150,2500
2737,32,3870
2738,127,5000
2739,58,800
2740,230,4590
2741,60,1600
2742,60,1170
2743,245,11500
2744,180,7000
2745,42,900
2746,41,1090
2747,800,8000
2748,700,15000
2749,140,2300
2750,222,4000
2751,122,2500
2752,62,2700
2753,107,3150
2754,59,1400
2755,40,1360
2756,72,1075
2757,400,6000
2758,84,6900
2759,80,1800
2760,90,1750
2761,413,7900
2762,120,4500
2763,66,1000
2764,140,3000
2765,190,3500
2766,325,6000
2767,60,2300
2768,310,7000
2769,100,6500
2770,120,1100
2771,52,730
2772,52,1100
2773,115,1900
2774,47,1000
2775,66,1780
2776,100,1650
2777,55,1319
2778,200,12000
2779,51,800
2780,140,2580
2781,200,4200
2782,30,1275
2783,87,3500
2784,100,1800
2785,48,2000
2786,40,1160
2787,78,2300
2788,41,2800
2789,200,5500
2790,234,8200
2791,136,3000
2792,250,3300
2793,125,3000
2794,86,1387
2795,62,1100
2796,120,3110
2797,61,1900
2798,160,2500
2799,64,1100
2800,70,2100
2801,258,1400
2802,163,2300
2803,360,1700
2804,90,3973
2805,50,1100
2806,264,7000
2807,70,2500
2808,126,3120
2809,35,2700
2810,98,1300
2811,47,1375
2812,70,2000
2813,85,2500
2814,90,3800
2815,250,9000
2816,160,6800
2817,25,1200
2818,97,3300
2819,33,4000
2820,66,1100
2821,78,1540
2822,248,6000
2823,163,4000
2824,332,15000
2825,30,1850
2826,172,5000
2827,100,1550
2828,260,5200
2829,432,15000
2830,46,1180
2831,999,15000
2832,274,9000
2833,76,1000
2834,210,4200
2835,400,11000
2836,110,1200
2837,20,1800
2838,160,3500
2839,95,5800
2840,38,2001
2841,220,5500
2842,396,10000
2843,360,3990
2844,25,1910
2845,120,3000
2846,556,7500
2847,100,1970
2848,40,780
2849,55,700
2850,60,2000
2851,70,3200
2852,52,1200
2853,110,2500
2854,53,1800
2855,188,8000
2856,121,1900
2857,80,1300
2858,160,2700
2859,285,20000
2860,70,1350
2861,53,1900
2862,320,6490
2863,96,7500
2864,35,2100
2865,375,10000
2866,60,1700
2867,100,2800
2868,82,4950
2869,57,6000
2870,485,13000
2871,61,1930
2872,28,1009
2873,130,7500
2874,119,2100
2875,123,3800
2876,96,1800
2877,120,5500
2878,89,2000
2879,190,9000
2880,402,7500
2881,40,1180
2882,210,4000
2883,77,3170
2884,65,900
2885,160,2770
2886,80,3100
2887,110,2070
2888,132,3350
2889,90,3500
2890,50,1540
2891,55,1800
2892,40,3480
2893,38,3200
2894,50,1100
2895,136,7500
2896,140,2700
2897,150,9000
2898,65,1400
2899,41,6500
2900,180,6000
2901,425,15000
2902,70,1800
2903,460,6500
2904,70,6000
2905,25,2200
2906,274,11000
2907,42,3380
2908,64,980
2909,31,1350
2910,74,2850
2911,110,1890
2912,20,1800
2913,91,2350
2914,85,3000
2915,42,3000
2916,359,7000
2917,89,1190
2918,50,750
2919,43,1600
2920,40,5000
2921,42,1750
2922,143,2058
2923,140,4445
2924,60,750
2925,121,6800
2926,148,3990
2927,130,9900
2928,35,4500
2929,85,4170
2930,40,900
2931,53,1239
2932,80,2650
2933,77,2400
2934,103,7550
2935,78,1500
2936,158,2750
2937,300,13100
2938,65,1000
2939,58,2055
2940,250,5000
2941,440,10200
2942,39,2200
2943,45,1300
2944,200,7900
2945,40,1250
2946,75,849
2947,85,1310
2948,57,1000
2949,60,1950
2950,46,850
2951,57,1460
2952,102,4200
2953,61,2300
2954,29,1770
2955,280,8000
2956,210,6500
2957,130,4000
2958,45,900
2959,45,2900
2960,40,2000
2961,175,1600
2962,750,15000
2963,60,1200
2964,86,3800
2965,75,2200
2966,281,4950
2967,70,2200
2968,280,8000
2969,30,1850
2970,100,2000
2971,271,4800
2972,123,3400
2973,59,3900
2974,130,1830
2975,58,1200
2976,42,2325
2977,168,3500
2978,430,7990
2979,90,980
2980,36,2000
2981,45,2700
2982,73,1400
2983,38,950
2984,95,2300
2985,60,1700
2986,60,2000
2987,44,2000
2988,39,900
2989,30,1100
2990,250,3700
2991,170,3500
2992,65,1800
2993,320,4320
2994,60,2200
2995,100,1870
2996,100,2800
2997,45,900
2998,270,3978
2999,90,3500
3000,51,1850
3001,72,1760
3002,45,2000
3003,60,1090
3004,213,6500
3005,33,1305
3006,74,814
3007,120,2625
3008,45,1900
3009,59,3478
3010,35,4500
3011,253,4100
3012,78,1600
3013,200,5000
3014,128,3800
3015,200,4000
3016,60,1250
3017,244,12000
3018,120,3000
3019,145,5700
3020,120,4675
3021,34,650
3022,90,2000
3023,76,700
3024,69,2000
3025,150,2500
3026,101,1700
3027,225,10800
3028,220,4500
3029,79,1880
3030,25,1200
3031,277,9000
3032,282,10000
3033,200,5500
3034,45,2300
3035,280,6553
3036,155,3500
3037,44,1900
3038,312,8000
3039,90,1200
3040,64,1850
3041,150,8000
3042,65,1300
3043,47,2200
3044,40,1980
3045,50,1800
3046,120,2320
3047,95,3000
3048,25,1650
3049,202,12000
3050,30,1000
3051,30,850
3052,1000,5000
3053,80,1700
3054,120,3250
3055,249,9000
3056,90,2600
3057,91,3450
3058,36,1162
3059,51,2900
3060,287,11300
3061,65,6700
3062,84,9600
3063,43,3600
3064,58,1540
3065,208,8000
3066,462,8600
3067,167,9500
3068,62,1236
3069,75,2500
3070,244,8000
3071,309,8000
3072,40,950
3073,90,950
3074,47,1100
3075,143,6000
3076,230,4210
3077,580,6960
3078,238,15000
3079,113,3400
3080,115,3800
3081,80,4000
3082,300,4500
3083,70,1450
3084,52,990
3085,55,1530
3086,58,750
3087,50,1150
3088,40,500
3089,164,3700
3090,76,2100
3091,80,2800
3092,300,15000
3093,75,1600
3094,280,8000
3095,50,1200
3096,74,5500
3097,73,2080
3098,280,3100
3099,403,15000
3100,424,3315
3101,190,4000
3102,454,10900
3103,138,7600
3104,600,15000
3105,58,3500
3106,38,2500
3107,113,3000
3108,70,1700
3109,90,4000
3110,183,5000
3111,20,1370
3112,66,500
3113,92,2700
3114,70,1800
3115,93,3400
3116,220,3230
3117,20,600
3118,92,2200
3119,50,1200
3120,300,13900
3121,90,1750
3122,36,500
3123,70,2250
3124,200,3500
3125,160,6800
3126,135,2800
3127,70,1200
3128,95,2000
3129,60,1900
3130,36,860
3131,136,6000
3132,250,3500
3133,330,15000
3134,65,950
3135,380,8000
3136,350,3000
3137,70,700
3138,65,1500
3139,45,5520
3140,95,3430
3141,120,1600
3142,248,5300
3143,100,3300
3144,394,4000
3145,209,2550
3146,16,555
3147,49,1700
3148,70,4100
3149,150,2430
3150,58,1320
3151,200,6000
3152,400,3500
3153,196,3300
3154,40,2000
3155,158,3700
3156,130,4000
3157,48,987
3158,72,1440
3159,65,1680
3160,60,1900
3161,48,1525
3162,47,1400
3163,84,900
3164,186,2500
3165,85,1500
3166,160,3800
3167,74,900
3168,18,1720
3169,130,2000
3170,95,2300
3171,105,1900
3172,85,1100
3173,50,1280
3174,103,4500
3175,54,780
3176,75,1400
3177,25,1200
3178,63,1300
3179,150,14000
3180,47,1570
3181,140,4235
3182,40,1110
3183,115,2200
3184,160,9530
3185,80,1400
3186,75,1100
3187,80,950
3188,80,2600
3189,199,4000
3190,400,9000
3191,70,1086
3192,300,5000
3193,70,1100
3194,250,8500
3195,27,1700
3196,54,2010
3197,225,9000
3198,125,4655
3199,55,2000
3200,186,5435
3201,154,5000
3202,200,9800
3203,246,4500
3204,78,1380
3205,70,2100
3206,188,9500
3207,165,2870
3208,63,950
3209,200,4000
3210,298,6000
3211,154,6700
3212,110,2100
3213,130,1800
3214,32,3500
3215,170,2430
3216,69,1600
3217,118,3950
3218,90,2800
3219,65,1200
3220,260,4000
3221,182,4900
3222,41,3500
3223,45,1400
3224,40,780
3225,100,2500
3226,66,1650
3227,71,970
3228,94,1200
3229,80,1380
3230,41,3220
3231,140,3825
3232,47,2200
3233,70,1200
3234,58,720
3235,200,5600
3236,40,725
3237,240,4000
3238,96,3050
3239,220,6500
3240,132,4000
3241,106,2200
3242,150,2000
3243,68,1400
3244,180,10500
3245,44,1170
3246,75,1900
3247,58,4700
3248,72,2200
3249,190,3500
3250,150,1300
3251,550,7700
3252,220,10500
3253,200,6000
3254,300,6800
3255,70,2280
3256,43,1000
3257,45,740
3258,55,650
3259,700,12000
3260,300,5500
3261,220,7000
3262,300,15000
3263,52,748
3264,106,4000
3265,84,3200
3266,50,1200
3267,240,4000
3268,240,8000
3269,260,1640
3270,73,1250
3271,334,3800
3272,67,1200
3273,71,1800
3274,280,7600
3275,450,6500
3276,82,2500
3277,380,8000
3278,105,2390
3279,55,1800
3280,45,1500
3281,70,3100
3282,160,5000
3283,48,1710
3284,200,9180
3285,46,1200
3286,30,680
3287,140,3600
3288,101,4600
3289,340,15000
3290,400,7000
3291,55,749
3292,45,1450
3293,62,1250
3294,75,3190
3295,86,3150
3296,182,3200
3297,30,762
3298,153,2710
3299,70,1100
3300,82,1840
3301,160,7000
3302,270,7000
3303,370,10000
3304,470,7200
3305,200,1600
3306,62,1400
3307,64,2500
3308,58,1100
3309,75,1350
3310,200,11000
3311,36,1600
3312,120,1700
3313,62,1600
3314,490,4450
3315,67,3170
3316,161,2500
3317,176,5000
3318,178,4500
3319,88,1658
3320,470,3700
3321,257,7000
3322,70,3500
3323,50,700
3324,89,1300
3325,73,1300
3326,95,4500
3327,54,1600
3328,150,4350
3329,139,5966
3330,45,1700
3331,255,3400
3332,100,2150
3333,120,2870
3334,200,8000
3335,72,1280
3336,50,1100
3337,158,12000
3338,22,2100
3339,105,2380
3340,50,1500
3341,65,1200
3342,108,2000
3343,50,1080
3344,198,4200
3345,74,1800
3346,71,5500
3347,52,1100
3348,355,6000
3349,162,1300
3350,90,2000
3351,62,1377
3352,130,3000
3353,78,2522
3354,276,4900
3355,50,1500
3356,35,1500
3357,161,3500
3358,30,920
3359,251,4200
3360,77,2600
3361,112,3250
3362,273,2470
3363,55,1100
3364,80,1800
3365,400,15000
3366,110,2500
3367,262,2250
3368,38,1700
3369,140,12500
3370,110,9810
3371,46,1099
3372,55,1500
3373,70,1710
3374,60,1860
3375,87,4000
3376,400,12000
3377,64,1350
3378,85,9000
3379,140,3490
3380,288,5025
3381,64,1200
3382,62,5050
3383,15,700
3384,200,4100
3385,450,12750
3386,72,3010
3387,75,1750
3388,20,550
3389,77,3000
3390,57,6000
3391,103,6000
3392,180,12000
3393,80,833
3394,25,4000
3395,248,8000
3396,360,8000
3397,62,2300
3398,85,1800
3399,187,2805
3400,58,2000
3401,93,1600
3402,28,1999
3403,120,1700
3404,70,1200
3405,162,15000
3406,210,4700
3407,300,2500
3408,40,1900
3409,270,4800
3410,65,3820
3411,83,1400
3412,340,7500
3413,28,890
3414,70,930
3415,300,4000
3416,423,14000
3417,16,850
3418,38,1300
3419,210,7000
3420,380,3400
3421,289,5000
3422,28,1300
3423,83,1500
3424,120,3430
3425,60,1080
3426,100,1100
3427,108,6500
3428,345,12000
3429,210,10000
3430,80,5300
3431,270,2900
3432,60,770
3433,64,2900
3434,90,4800
3435,157,4500
3436,100,1300
3437,86,2340
3438,56,1800
3439,40,2900
3440,188,10000
3441,44,1800
3442,300,2970
3443,101,5000
3444,130,2000
3445,120,6160
3446,200,2900
3447,140,8500
3448,100,3399
3449,260,5500
3450,77,3000
3451,45,770
3452,50,1000
3453,44,908
3454,84,2200
3455,53,1000
3456,200,3250
3457,75,900
3458,120,2525
3459,70,1030
3460,100,808
3461,73,2450
3462,70,3000
3463,110,6375
3464,200,3000
3465,75,1198
3466,96,3450
3467,270,4000
3468,100,2720
3469,195,3400
3470,102,3100
3471,310,5500
3472,63,1850
3473,131,3000
3474,37,2850
3475,145,3000
3476,135,4300
3477,67,1399
3478,25,1049
3479,300,6200
3480,190,5700
3481,105,7300
3482,48,4500
3483,170,1300
3484,75,2000
3485,520,10000
3486,37,1840
3487,305,10000
3488,80,3776
3489,69,1800
3490,36,1850
3491,28,2150
3492,110,2040
3493,88,1300
3494,500,11500
3495,122,3860
3496,85,1250
3497,36,1600
3498,80,1900
3499,114,2289
3500,150,1600
3501,70,1800
3502,370,7900
3503,47,2700
3504,70,2910
3505,70,3300
3506,50,1740
3507,37,1900
3508,136,2800
3509,60,2000
3510,65,1540
3511,450,7880
3512,180,3400
3513,130,4000
3514,200,2300
3515,180,12500
3516,55,1700
3517,79,6250
3518,47,9200
3519,65,2550
3520,292,3750
3521,181,4000
3522,327,11000
3523,300,5120
3524,366,15000
3525,115,3150
3526,216,7500
3527,70,820
3528,170,5000
3529,65,3000
3530,88,2900
3531,54,1870
3532,95,8000
3533,800,15000
3534,75,1450
3535,38,1940
3536,178,6000
3537,310,6000
3538,66,2600
3539,90,2550
3540,180,4250
3541,40,1100
3542,150,5500
3543,37,2900
3544,71,2800
3545,130,5000
3546,75,2700
3547,45,1760
3548,260,5830
3549,50,750
3550,63,1600
3551,99,4300
3552,170,8250
3553,67,1612
3554,126,2300
3555,70,1700
3556,57,1717
3557,27,694
3558,78,1840
3559,1100,14000
3560,162,15000
3561,85,2550
3562,67,1100
3563,122,2000
3564,220,11000
3565,30,1000
3566,50,950
3567,120,1500
3568,75,1500
3569,70,2700
3570,650,8500
3571,71,1300
3572,27,2000
3573,187,2950
3574,110,4500
3575,180,3500
3576,57,1510
3577,250,15000
3578,49,1460
3579,110,1300
3580,59,2200
3581,65,1700
3582,220,5000
3583,220,6400
3584,88,7300
3585,90,4100
3586,30,3400
3587,49,1800
3588,100,5900
3589,120,2300
3590,150,4250
3591,100,1550
3592,170,7500
3593,70,1300
3594,70,3150
3595,80,6500
3596,60,5700
3597,100,3300
3598,260,3850
3599,300,6500
3600,86,2500
3601,250,6600
3602,48,900
3603,70,1900
3604,82,2100
3605,80,1900
3606,429,10500
3607,104,1700
3608,35,2600
3609,240,4500
3610,40,850
3611,400,12000
3612,90,4500
3613,45,1720
3614,110,2000
3615,110,1900
3616,143,2500
3617,60,1100
3618,124,2791
3619,55,1490
3620,73,2500
3621,200,4100
3622,70,850
3623,44,2600
3624,87,2500
3625,60,1290
3626,200,4350
3627,80,2900
3628,51,1080
3629,147,12000
3630,210,10000
3631,110,3200
3632,50,1100
3633,32,1430
3634,82,1000
3635,98,2100
3636,170,9000
3637,20,1800
3638,168,2000
3639,50,800
3640,212,9200
3641,73,1250
3642,50,1800
3643,20,1800
3644,190,3900
3645,450,4900
3646,180,4500
3647,682,5500
3648,68,1000
3649,58,1300
3650,60,1100
3651,50,1160
3652,120,2200
3653,43,2000
